,STATE,COUNTY,WNTW_RISKV,WNTW_RISKR,WNTW_EALS,WNTW_ALRB,WNTW_ALRP,WNTW_ALRA,WNTW_ALR_NPCTL
0,Alabama,Autauga,8494.906508461541,Very Low,15.784586815227485,2.6877164e-07,7.410082e-09,8.725776966e-06,10.46115753636645
1,Alabama,Baldwin,65619.70163777222,Relatively Low,56.20550913030021,1.268231e-09,2.2871204e-08,1.54835992e-07,13.33952336737852
2,Alabama,Barbour,15501.730335478447,Very Low,18.632002476013614,5.78805028e-07,2.347236e-08,7.60659808e-07,16.12503868771278
3,Alabama,Bibb,7496.186939883645,Very Low,13.308573197152583,9.01467864e-07,1.2702997e-08,1.2020148854e-05,16.991643454038996
4,Alabama,Blount,17175.160728869163,Very Low,23.645930052615288,5.26842547e-07,1.4820163e-08,2.00296535e-07,12.0396162178892
5,Alabama,Bullock,7340.314705851991,Very Low,12.10151655834107,8.82630266e-07,3.129648e-08,1.014213077e-06,20.45806251934385
6,Alabama,Butler,9478.883530288562,Very Low,15.536985453419994,5.78805028e-07,2.347236e-08,2.404573189e-06,17.23924481584649
7,Alabama,Calhoun,35926.1902929671,Relatively Low,39.306716186939035,2.38726947e-07,1.7995913e-08,6.34619789e-07,11.451562983596412
8,Alabama,Chambers,8875.448047064083,Very Low,13.834726090993502,4.19027812e-07,9.527248e-09,2.923346118e-06,11.761064685855771
9,Alabama,Cherokee,8944.754755281674,Very Low,15.90838749613123,7.24168616e-07,1.5878746e-08,2.52920684e-07,15.47508511296812
10,Alabama,Chilton,12394.812962617954,Very Low,18.322500773754253,4.98837529e-07,1.1644414e-08,8.843195604e-06,12.720519962859797
11,Alabama,Choctaw,16225.021830026075,Very Low,20.767564221603216,5.66415771e-07,5.4768841e-08,3.63273846e-07,25.998142989786444
12,Alabama,Clarke,18403.338734896915,Very Low,22.06747137109254,6.7515092e-08,4.6947305e-08,3.11460939e-07,23.584029712163417
13,Alabama,Clay,8232.11064276498,Very Low,13.772825750541628,9.62188632e-07,1.693733e-08,1.2028930774e-05,26.957598266790463
14,Alabama,Cleburne,7315.622980434898,Very Low,12.999071494893222,1.14798717e-06,1.9054496e-08,4.67234047e-07,19.467657072113894
15,Alabama,Coffee,55226.605354380175,Relatively Low,48.68461776539771,1.119403591e-06,3.129648e-08,3.206097585e-06,26.70999690498298
16,Alabama,Colbert,30304.324274439277,Relatively Low,36.61405137728258,5.25173411e-07,3.0818521e-08,2.19516863e-07,18.353450943980192
17,Alabama,Conecuh,5924.306450031923,Very Low,11.080160940885175,6.06449146e-07,2.347236e-08,2.404573189e-06,16.744042092231506
18,Alabama,Coosa,3414.791910318504,Very Low,7.861343237387805,7.11598991e-07,1.1644414e-08,3.71689387e-06,15.846487155679355
19,Alabama,Covington,17896.441883504034,Very Low,24.110182606004333,5.78963382e-07,2.3474522e-08,2.405033821e-06,16.80594243268338
20,Alabama,Crenshaw,6933.861798486348,Very Low,12.720519962859797,5.78805028e-07,2.347236e-08,2.404573189e-06,18.012999071494892
21,Alabama,Cullman,28324.259725296608,Relatively Low,34.50943980191891,3.854186e-07,1.7995913e-08,1.20107726e-07,12.472918601052308
22,Alabama,Dale,37535.35397438987,Relatively Low,38.06870937790158,1.125224693e-06,3.129648e-08,1.014213077e-06,22.40792324357784
23,Alabama,Dallas,7021.825773305544,Very Low,12.070566388115136,2.4611199e-07,6.351499e-09,9.02545709e-06,14.360878984834416
24,Alabama,DeKalb,217797.81535297647,Relatively Moderate,78.30393067161869,5.31846921e-07,1.90073202e-07,9.9380296e-08,59.11482513153823
25,Alabama,Elmore,10850.738917353894,Very Low,19.312906220984217,1.89596062e-07,7.410082e-09,9.283482347e-06,9.316001238006807
26,Alabama,Escambia,20070.415143727132,Relatively Low,23.893531414422785,5.93190028e-07,2.4035238e-08,2.46106217e-06,16.836892602909316
27,Alabama,Etowah,27753.591689807872,Relatively Low,34.81894150417828,2.74880127e-07,1.5878746e-08,2.65361285e-07,10.894459919529558
28,Alabama,Fayette,7005.604949250761,Very Low,12.225317239244816,9.27181672e-07,1.2702997e-08,1.053185238e-06,18.60105230578768
29,Alabama,Franklin,23364.66456005383,Relatively Low,27.42185082017951,1.322790464e-06,2.7192813e-08,2.31600362e-07,23.057876818322505
30,Alabama,Geneva,19112.227011059833,Very Low,24.203033116682136,1.030588489e-06,3.1296644e-08,1.014225677e-06,22.005571030640674
31,Alabama,Greene,14985.18295423281,Very Low,18.60105230578768,1.481208235e-06,8.6065321e-08,9.33135721e-07,38.09965954812751
32,Alabama,Hale,6679.967534703865,Very Low,10.894459919529558,9.63136433e-07,1.1644414e-08,8.22167858e-07,18.724852986691428
33,Alabama,Henry,22538.53164540236,Relatively Low,28.536056948313217,3.789898947e-06,3.129648e-08,1.014213077e-06,41.78272980501393
34,Alabama,Houston,69711.28741382553,Relatively Low,53.41999380996596,6.91210848e-07,3.129648e-08,1.014213077e-06,20.17951098731043
35,Alabama,Jackson,136669.1399660484,Relatively Moderate,71.09254100897556,6.52702601e-07,1.7279382e-07,2.83990551e-07,55.74125657691117
36,Alabama,Jefferson,55094.289780670966,Relatively Low,50.69637883008357,3.4175221e-08,5.683595e-09,1.0630872614e-05,6.437635406994738
37,Alabama,Lamar,29053.188409648654,Relatively Low,33.36428350355927,2.119330229e-06,1.09537682e-07,1.038002303e-06,45.3419993809966
38,Alabama,Lauderdale,61592.76564042193,Relatively Low,53.48189415041783,3.10370421e-07,4.6285741e-08,2.31689779e-07,22.90312596719282
39,Alabama,Lawrence,21092.348335195325,Relatively Low,27.97895388424637,1.300341102e-06,2.9005667e-08,2.13325276e-07,22.655524605385327
40,Alabama,Lee,16242.228016752084,Very Low,24.729186010523055,7.0568507e-08,6.351498e-09,1.521319615e-06,6.932838130609718
41,Alabama,Limestone,186987.52654694577,Relatively Moderate,80.87279480037141,4.89546621e-07,1.46874747e-07,2.8711001e-07,51.87248529866915
42,Alabama,Lowndes,10846.7224528904,Very Low,15.010832559579075,9.69505449e-07,3.9120601e-08,7.860878019e-06,27.669452181987005
43,Alabama,Macon,2920.0369530037287,Very Low,7.180439492417208,2.8727696e-07,5.292915e-09,6.197770588e-06,11.606313834726093
44,Alabama,Madison,785648.753762976,Relatively High,96.28597957288765,9.5161506e-08,1.7279382e-07,3.26949869e-07,57.87681832250078
45,Alabama,Marengo,26070.753862710448,Relatively Low,30.176415970287835,8.09165387e-07,7.8241201e-08,5.18962637e-07,34.7570411637264
46,Alabama,Marion,19848.107482414867,Very Low,25.441039925719597,1.035104991e-06,2.9005667e-08,2.33423079e-07,21.510368307025686
47,Alabama,Marshall,42773.81166172585,Relatively Low,41.34942742185082,5.12067195e-07,2.1171662e-08,1.90773523e-07,14.948932219127206
48,Alabama,Mobile,130183.37657632702,Relatively Moderate,70.93779015784587,1.365779e-09,2.3267091e-08,1.55475587e-07,13.52522438873414
